Name,Email,Phone,Level,Gender,Interview Status,Result,Interview Date,Years Exp,Salary Expectation,Salary Type,Created At
Nguyen Van Anh,vananh.nguyen@gmail.com,0912345678,Senior,Male,Confirmed,Hired,2026-03-10,7,2500,Monthly,4/1/2026
Tran Thi Bich,bichtran92@gmail.com,0987654321,Beginner,Female,Confirmed,Potential Talented,2026-03-12,2,1200,Monthly,4/1/2026
Le Minh Duc,ducle.dev@gmail.com,0901122334,Senior,Male,Confirmed,Hired,2026-03-15,9,3000,Monthly,4/2/2026
Pham Thi Lan,lanthi.pham@gmail.com,0934567890,Newbie,Female,No Response,,,0,800,Monthly,4/2/2026
Hoang Quoc Bao,baohq.tech@gmail.com,0976543210,Senior,Male,Confirmed,Future Consideration,2026-03-18,6,2200,Monthly,4/2/2026
Vo Thi Kim Ngan,kimngan.vo@gmail.com,0945678901,Beginner,Female,Rejected,Rejected,2026-03-20,1,1000,Monthly,4/3/2026
Dang Minh Tuan,tuandm.it@gmail.com,0923456789,Senior,Male,Confirmed,Hired,2026-03-22,8,2800,Monthly,4/3/2026
Nguyen Thi Hoa,hoant.nguyen@gmail.com,0956789012,Beginner,Female,No Response,,,1,1100,Monthly,4/3/2026
Bui Van Long,longbv.dev@gmail.com,0912233445,Senior,Male,Confirmed,Potential Talented,2026-03-25,5,2000,Monthly,4/4/2026
Ly Thi Thanh,thanhly.hr@gmail.com,0978901234,Newbie,Female,Confirmed,Future Consideration,2026-03-27,0,700,Monthly,4/4/2026
Phan Dinh Khanh,khanhpd.se@gmail.com,0934112233,Senior,Male,Rejected,Rejected,2026-03-28,4,1800,Monthly,4/4/2026
Truong Thi Mai,maitruong.ui@gmail.com,0901987654,Beginner,Female,Confirmed,Hired,2026-03-30,3,1300,Monthly,4/5/2026
Do Van Hieu,hieudv.backend@gmail.com,0967890123,Senior,Male,Confirmed,Hired,2026-04-01,10,3500,Monthly,4/5/2026
Ngo Thi Phuong,phuongngo.data@gmail.com,0945321098,Beginner,Female,No Response,,,2,1150,Monthly,4/5/2026
Cao Minh Khoi,khoicm.cloud@gmail.com,0923789012,Senior,Male,Confirmed,Potential Talented,2026-04-02,6,2400,Monthly,4/6/2026
Ha Thi Quynh,quynhha.qa@gmail.com,0912678901,Newbie,Female,No Response,,,0,750,Monthly,4/6/2026
Luu Van Thanh,thanhluv.mobile@gmail.com,0987123456,Senior,Male,Confirmed,Hired,2026-04-03,7,2700,Monthly,4/6/2026
Dinh Thi Thu,thudinhth@gmail.com,0934876543,Beginner,Female,Rejected,Rejected,2026-04-03,1,950,Monthly,4/6/2026
Vuong Quoc Nam,namvq.fullstack@gmail.com,0956234567,Senior,Male,Confirmed,Future Consideration,2026-04-04,5,2100,Monthly,4/7/2026
To Thi Ngoc,ngocto.pm@gmail.com,0978345678,Beginner,Female,Confirmed,Potential Talented,2026-04-04,3,1400,Monthly,4/7/2026
Chu Van Phong,phongcv.devops@gmail.com,0901456789,Senior,Male,No Response,,,8,3200,Monthly,4/7/2026
Mai Thi Linh,linhmai.design@gmail.com,0967567890,Newbie,Female,Confirmed,Hired,2026-04-05,0,800,Monthly,4/7/2026
Sam Van Quang,quangsv.net@gmail.com,0945678012,Beginner,Male,Rejected,Rejected,2026-04-05,2,1050,Monthly,4/8/2026
Huynh Thi Yen,yenht.analyst@gmail.com,0923890123,Senior,Female,Confirmed,Hired,2026-04-06,6,2300,Monthly,4/8/2026
Tong Minh Huy,huytm.ai@gmail.com,0912901234,Senior,Male,Confirmed,Potential Talented,2026-04-06,9,3100,Monthly,4/8/2026
Luong Thi Hang,hanglth.content@gmail.com,0987012345,Newbie,Female,No Response,,,0,700,Monthly,4/8/2026
Trinh Van Son,sontrinh.sec@gmail.com,0934123456,Senior,Male,Confirmed,Future Consideration,2026-04-07,7,2600,Monthly,4/9/2026
Le Thi Ngoc Anh,ngocanhle.ux@gmail.com,0956234678,Beginner,Female,Confirmed,Hired,2026-04-07,2,1250,Monthly,4/9/2026
Nguyen Duc Manh,manhnd.infra@gmail.com,0978345789,Senior,Male,No Response,,,5,2000,Monthly,4/9/2026
Pham Thi Cam Tu,tupt.marketing@gmail.com,0901456890,Beginner,Female,Rejected,Rejected,2026-04-08,1,900,Monthly,4/9/2026
